time,open,high,low,close,tick_volume,spread,real_volume
2011-08-11,1.41245,1.42912,1.41039,1.42353,115342,8,0
2011-08-12,1.42246,1.42899,1.41495,1.42479,92756,4,0
2011-08-14,1.42639,1.42734,1.42637,1.4272,1650,12,0
2011-08-15,1.4272,1.44748,1.42635,1.44334,88878,6,0
2011-08-16,1.4433099999999999,1.44709,1.4353799999999999,1.43958,95202,6,0
2011-08-17,1.43959,1.45167,1.4325,1.44271,91884,6,0
2011-08-18,1.4427400000000001,1.44508,1.4271099999999999,1.43213,94249,6,0
2011-08-19,1.43208,1.44507,1.42585,1.4395,95767,7,0
2011-08-21,1.43735,1.43833,1.43601,1.43665,2187,16,0
2011-08-22,1.43667,1.44339,1.4346999999999999,1.436,84251,6,0
2011-08-23,1.43598,1.44987,1.43527,1.44323,86599,6,0
2011-08-24,1.44324,1.44806,1.43798,1.44104,84920,4,0
2011-08-25,1.44105,1.4473799999999999,1.43283,1.43873,79651,7,0
2011-08-26,1.43873,1.45008,1.4329100000000001,1.44984,80610,6,0
2011-08-28,1.44916,1.45021,1.44815,1.44926,2015,12,0
2011-08-29,1.44927,1.45482,1.44657,1.4515799999999999,74819,7,31589747000
2011-08-30,1.45166,1.45328,1.43841,1.44391,95905,8,122519249000
2011-08-31,1.44394,1.44688,1.4358,1.4362599999999999,93692,8,97348617316
2011-09-01,1.4362599999999999,1.43767,1.42262,1.42687,83228,6,0
2011-09-02,1.42686,1.4287,1.41839,1.4203700000000001,78638,6,0
2011-09-04,1.41571,1.4157199999999999,1.41361,1.41479,2269,12,0
2011-09-05,1.41478,1.41726,1.40584,1.4068100000000001,82736,7,0
2011-09-06,1.4068,1.42544,1.39733,1.40088,100229,7,0
2011-09-07,1.40087,1.41476,1.40061,1.40796,94465,7,0
2011-09-08,1.40796,1.40888,1.3872,1.3889,99770,6,0
2011-09-09,1.38889,1.3936,1.36272,1.36532,100323,7,0
2011-09-11,1.3578299999999999,1.3604,1.3569499999999999,1.3604,3069,14,0
2011-09-12,1.36044,1.3692,1.34989,1.36574,117655,7,0
2011-09-13,1.36573,1.37385,1.35582,1.36842,110446,6,0
2011-09-14,1.36845,1.37826,1.3590900000000001,1.3744100000000001,113843,7,0
2011-09-15,1.37442,1.39359,1.37031,1.38669,105997,7,0
2011-09-16,1.38666,1.38808,1.3753600000000001,1.37941,93402,7,0
2011-09-18,1.36761,1.37063,1.3676,1.3702,2864,12,0
2011-09-19,1.3702,1.37196,1.35868,1.36025,102645,7,0
2011-09-20,1.3602400000000001,1.37432,1.35927,1.3691,110208,6,0
2011-09-21,1.3691,1.37953,1.35578,1.35852,113338,4,0
2011-09-22,1.35854,1.35868,1.33856,1.34786,123857,4,0
2011-09-23,1.34785,1.35663,1.34188,1.34974,116418,7,0
2011-09-25,1.3507799999999999,1.35492,1.34876,1.35447,3318,15,0
2011-09-26,1.35445,1.35461,1.33624,1.35163,123511,7,0
2011-09-27,1.35162,1.3666800000000001,1.34793,1.35825,112164,7,0
2011-09-28,1.35824,1.3689200000000001,1.35228,1.35359,108893,4,0
2011-09-29,1.35358,1.36774,1.35194,1.35829,114185,6,0
2011-09-30,1.3583,1.36001,1.33837,1.33846,103004,4,0
2011-10-02,1.33447,1.33628,1.33419,1.3357299999999999,2438,14,0
2011-10-03,1.33575,1.33808,1.31635,1.31927,113408,7,0
2011-10-04,1.3192599999999999,1.33681,1.31458,1.33271,122402,7,0
2011-10-05,1.33271,1.33826,1.32599,1.33389,112478,4,0
2011-10-06,1.33389,1.345,1.32417,1.34269,108360,7,0
2011-10-07,1.34266,1.35241,1.3360699999999999,1.33755,116729,2,0
2011-10-09,1.33863,1.33934,1.33817,1.33836,1778,12,0
2011-10-10,1.33839,1.36975,1.33774,1.3633899999999999,94618,6,0
2011-10-11,1.3633899999999999,1.36828,1.35654,1.36442,99882,7,0
2011-10-12,1.36443,1.3832499999999999,1.35824,1.37894,103135,7,0
2011-10-13,1.37892,1.38251,1.36852,1.37339,104165,7,0
2011-10-14,1.37339,1.38936,1.37231,1.3878,94428,6,0
2011-10-16,1.38782,1.38865,1.38743,1.3877,2322,12,0
2011-10-17,1.38771,1.39137,1.37241,1.37418,97060,7,0
2011-10-18,1.37418,1.38163,1.36526,1.37336,107183,6,0
2011-10-19,1.37335,1.38681,1.37247,1.37626,103768,7,0
2011-10-20,1.37628,1.38412,1.36565,1.37762,109723,7,0
2011-10-21,1.37764,1.39004,1.37043,1.38917,99297,7,0
2011-10-23,1.38686,1.38711,1.38443,1.38443,2426,14,0
2011-10-24,1.38443,1.39557,1.38222,1.39224,102313,7,0
2011-10-25,1.39226,1.39588,1.38492,1.39028,104577,7,0
2011-10-26,1.39029,1.3974,1.37997,1.38754,105839,6,0
2011-10-27,1.38754,1.4245999999999999,1.38641,1.41729,113565,6,0
2011-10-28,1.4173,1.42001,1.41331,1.41453,93870,6,0
2011-10-30,1.41501,1.41616,1.4139599999999999,1.41432,1930,13,0
2011-10-31,1.41434,1.41695,1.38287,1.38439,107218,6,0
2011-11-01,1.38437,1.38702,1.3608500000000001,1.3661400000000001,115450,6,0
2011-11-02,1.36615,1.38265,1.36362,1.37264,110775,6,0
2011-11-03,1.37264,1.38541,1.36563,1.38232,111444,6,0
2011-11-04,1.38233,1.38655,1.37111,1.3789799999999999,96958,6,0
2011-11-06,1.3816,1.38166,1.37772,1.3786,3393,12,0
2011-11-07,1.37859,1.38123,1.36814,1.37586,97644,6,0
2011-11-08,1.37586,1.38464,1.37242,1.38242,93674,5,0
2011-11-09,1.38242,1.3858,1.35216,1.35252,109910,7,0
2011-11-10,1.35253,1.36518,1.34837,1.36087,106461,5,0
2011-11-11,1.36086,1.37944,1.35778,1.37672,83587,6,0
2011-11-13,1.37759,1.37919,1.37723,1.37843,2791,13,0
2011-11-14,1.37842,1.37883,1.35914,1.36237,98468,6,0
2011-11-15,1.36239,1.36402,1.34961,1.35033,101528,6,0
2011-11-16,1.35035,1.3556,1.34213,1.34391,108613,6,0
2011-11-17,1.3439,1.35392,1.34226,1.3453300000000001,111701,6,0
2011-11-18,1.34534,1.36136,1.3447,1.35222,98315,4,0
2011-11-20,1.35214,1.35352,1.35049,1.35351,3158,13,0
2011-11-21,1.35352,1.35398,1.343,1.34827,99162,6,0
2011-11-22,1.34828,1.35678,1.34687,1.35184,96042,4,0
2011-11-23,1.35183,1.35304,1.33201,1.33453,98575,6,0
2011-11-24,1.33454,1.34109,1.3316,1.33297,80824,7,0
2011-11-25,1.33296,1.33322,1.32119,1.32375,82098,6,0
2011-11-27,1.33095,1.33257,1.33047,1.33104,3222,14,0
2011-11-28,1.33101,1.33981,1.32725,1.33139,93527,4,0
2011-11-29,1.33138,1.34412,1.3285,1.33222,95410,7,0
2011-11-30,1.33223,1.35302,1.32587,1.34402,92417,4,0
2011-12-01,1.3440400000000001,1.3519999999999999,1.34177,1.3465099999999999,88746,6,0
2011-12-02,1.34652,1.35449,1.33625,1.33898,71613,6,0
2011-12-04,1.34094,1.34239,1.34084,1.3415,1781,12,0
2011-12-05,1.34151,1.34851,1.33748,1.33859,82294,4,0
2011-12-06,1.3385799999999999,1.34271,1.3333300000000001,1.34089,86796,5,0
